puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,prompt_tokens,completion_tokens,total_tokens,timestamp
1,puzzle1,easy,2,4,0,False,False,0.7,0,0,0,2025-08-21T22:16:14.132575
2,puzzle2,easy,2,1,0,False,False,0.75,0,0,0,2025-08-21T22:16:15.881730
3,puzzle3,easy,2,2,0,False,False,1.65,0,0,0,2025-08-21T22:16:18.536342
4,puzzle4,easy,2,3,0,False,False,0.39,0,0,0,2025-08-21T22:16:19.929454
5,puzzle5,easy,2,2,0,False,False,1.5,0,0,0,2025-08-21T22:16:22.426911
6,puzzle6,easy,3,1,0,False,False,0.64,0,0,0,2025-08-21T22:16:24.067361
7,puzzle7,easy,3,3,0,False,False,0.33,0,0,0,2025-08-21T22:16:25.397392
8,puzzle8,easy,3,3,0,False,False,0.87,0,0,0,2025-08-21T22:16:27.271572
9,puzzle9,easy,3,4,0,False,False,0.61,0,0,0,2025-08-21T22:16:28.879407
10,puzzle10,easy,3,2,0,False,False,0.75,0,0,0,2025-08-21T22:16:30.631920
